prod_ID,prod_brand,prod_category,prod_name,reviews
AV13O1A8GV-KLJ3akUyj,Universal Music,"Movies, Music & Books,Music,R&b,Movies & TV,Movie Bundles & Collections,CDs & Vinyl,Rap & Hip-Hop,Bass,Music on CD or Vinyl,Rap,Hip-Hop,Mainstream Rap,Pop Rap",Pink Friday: Roman Reloaded Re-Up (w/dvd),Just Awesome i love this album. it's very good. more to the hip hop side than her current pop sound.. SO HYPE! i listen to this everyday at the gym! i give it 5star rating all the way. her metaphors are just crazy.
AV14LG0R-jtxr-f38QfS,Lundberg,"Food,Packaged Foods,Snacks,Crackers,Snacks, Cookies & Chips,Rice Cakes,Cakes",Lundberg Organic Cinnamon Toast Rice Cakes,Good Good flavor. This review was collected as part of a promotion.
AV16khLE-jtxr-f38VFn,K-Y,"Personal Care,Medicine Cabinet,Lubricant/Spermicide,Health,Sexual Wellness,Lubricants",K-Y Love Sensuality Pleasure Gel,Amazing Great product! Exactly what it says works very well
AV1d76w7vKc47QAVhCqn,J.R. Watkins,"Personal Care,Skin Care,Hand Cream,Beauty,Body Lotions & Creams,Natural Beauty,Natural Personal Care,Natural Skin Care,Ways To Shop,Bath & Body,Hand Creams & Lotions","J.R. Watkins Hand Cream, Lemon Cream","Thick and works! I love this lotion. Nice and thick, great fragrance. I use it on my hands and my feet."
AV1h6gSl-jtxr-f31p40,AMBI,"Personal Care,Bath, Shower & Soap,Featured Brands,Health & Beauty,Johnson & Johnson,Bath & Body,Body Wash & Cleansers,Beauty,Skin Care,Facial Cleansers,Soaps",Ambi Complexion Cleansing Bar,"Ambi soap I have used this soap for years and considered it Wal-Mart's best kept secret. I was so disappointed when they stopped carrying it in our store location. Was delighted to see I could get it online it ended up a blessing. I don't go to Wal-Mart as often so I'm saving money there (Sorry Walmart), delivery was prompt, I stockpiled and never left the house."
AV1h6Gu0glJLPUi8IjA_,Johnson's,"Personal Care,Baby Care,Baby Bubble Bath,Baby,Bath & Potty,Toiletries,Bubble Bath,Baby Bath,Bath & Body,Body Wash & Cleansers","Johnson's Baby Bubble Bath and Wash, 15oz",love Really liked the fresh smell of this.
AV1l8zRZvKc47QAVhnAv,Olay,"Personal Care,Skin Care,Anti-Aging,Beauty,Face Moisturizers,Facial Moisturizers,Moisturizers,Creams & Moisturizers",Olay Regenerist Deep Hydration Regenerating Cream,Good smell The product was awesome becauseof the new cool and dry skin care products
AV1YGDqsGV-KLJ3adc-O,Windex,"Household Essentials,Cleaning Supplies,Glass Cleaners,Health & Household,Household Supplies,Household Cleaning,Featured Brands,Home And Storage & Org,Thanksgathering,All-purpose Cleaners,Target Restock,Food & Grocery,Glass & Window",Windex Original Glass Cleaner Refill 67.6oz (2 Liter),"Dependable results I've purchased Windex for years! Multiple uses, cleans well. This review was collected as part of a promotion."
AV1YIch7GV-KLJ3addeG,Heinz,"Food,Packaged Foods,Condiments, Dips, & Salad Dressings,Ketchup,Food & Beverage,Meal Solutions, Grains & Pasta,Condiments & Salad Dressing,Featured Brands,Grocery & Gourmet Food,Condiments & Salad Dressings,Grocery,Heinz,Food & Grocery,General Grocery,Marinades & Sauces","Heinz Tomato Ketchup, 38oz",Ketchup Is Awesome I consider myself a ketchup snob. I'll pass on the Hunts or catsup anyday and will only put Heinz on my fries. I suggest you do the same.
AV1YlENIglJLPUi8IHsX,KIND,"Food,Packaged Foods,Snacks,Cereal Bars and Granola Bars,Ways To Shop,Back To School Lunches,Bars,Cereals & Granolas,Energy & Nutritional Bars,Food & Beverage,Cookies, Chips & Snacks,Granola Bars,Food & Beverage Ways To Shop,Special Diets,Snacks, Cookies & Chips,Granola Bars & Snack Bars,Whole Grain,Target Restock",Kind Dark Chocolate Chunk Gluten Free Granola Bars - 5 Count,love it Healthy snack. Tasted great.
AV1YmBrdGV-KLJ3adewb,Pantene,"Personal Care,Hair Care,Shampoo,Shampoos,Curling Irons & Wands,Daily Shampoo,Shampoo Plus Conditioner,Beauty,Color Additives & Fillers","Pantene Color Preserve Volume Shampoo, 25.4oz",Pantene Color Preserve Volume Shampoo Pantene Color Preserve helps keep your hair color longer!
AV1YmDL9vKc47QAVgr7_,Aussie,"Personal Care,Hair Care,Shampoo,Beauty,Shampoo & Conditioner,Shampoos,Daily Shampoo","Aussie Aussome Volume Shampoo, 13.5 Oz",Use daily This is my favorite shampoo. I have fine hair and this shampoo is perfect. It smells so good and the price is awesome. I use this every day and I stocked up so the whole family is using it.
AV1Ymf_rglJLPUi8II2v,Disney,"Movies, Music & Books,Movies,Kids' & Family,Movies & TV Shows,Disney,Movies & TV,Movies & Music,VHS Custom Stores,Animated Movies,Kids & Family,All Disney Titles,Animation",Cars Toon: Mater's Tall Tales,"Awesome My 2 year old loves this movie he is constantly say ""mator space mator space"" because he wants to watch these short films well worth the money."
AV1Yn94nvKc47QAVgtst,CeraVe,"Personal Care,Skin Care,Face Care,Facial Moisturizer/Treatment,Beauty,Body Lotions & Creams,Face Moisturizers,Moisturizers,Lotions",CeraVe SA Renewing Cream,Cerave this product really works
AV1Ynb3bglJLPUi8IJxJ,Solo Foods,"Food,Packaged Foods,Baking,Extracts & Colorings,Home & Garden,Food & Beverages,Candy, Gum & Chocolate,Fondant & Gum Paste,Baking Mixes,Marzipan & Almond Paste",Solo Foods Almond Paste,Almond paste Best I have used so far
AV1YneDPglJLPUi8IJyQ,Finish,"Household Essentials,Cleaning Supplies,Dish Detergents,Ways To Shop,Household Essentials Subscriptions,Kitchen,Dishwasher Detergent,Natural Cleaning,Glass Cleaners,Dish Detergent","Finish Quantum Dishwasher Detergent, Lemon Sparkle Scent, 45 Count",Good Work Finish they left the dishes really shiny and looking really clean what a good finish
AV1YnUMYglJLPUi8IJpK,Jake And The Neverland Pirates,"Home,Kids' Home,Kids' Bedding,Kids' Bedding Sets,Baby,Nursery,Baby Bedding,Toddler Bedding,Toddler,Bedding,Toddler Bedding Sets & Sheets,Featured Brands,Character Shop,Disney Junior,Kitchen & Dining Features,Home & Garden,Kids & Teens at Home,Bedding Sets,Bedding & Blankets",Disney174 Jake And The Neverland Pirates 4 Piece Bedding Set - Toddler,Perfect For Little Boys! This set is very soft and my 2 year old son loves it! He loves carrying the sheet around the house.
AV1Yo6FPglJLPUi8IK3u,Pearhead,"Gift Finder,Gifts For Baby,Baby,Nursery,Baby Decor,Home,Home Decor,Frames & Display Boxes,Frames,Holiday Shop,Mother's Day,Keepsakes,Jewelry,Bracelets,Keepsakes & Baby Announcements,Baby Picture Frames,Keepsake Frames",Pearhead Id Bracelet Frame,"Cute Keepsake Cute frame, cant wait until the baby gets here to use it"
AV1YpiJvvKc47QAVguxy,No Brand,"Home,Arts & Crafts,Scrapbooking,Scrapbooking Tools,Scrapbook Accessories,Home & Kitchen Features,Punches,Specialty Stores",Craft Punch Giga Scallop Circle 45 24687534 To 334,Great Punch Very easy on the hands to use. I used it on card stock with no problem....especially for a punch of this size.
AV1YqAaMGV-KLJ3adiDj,Neutrogena,"Personal Care,Sun Care,Spray-on Sunscreen SPF 15 And Above,Beauty,Skin Care,Featured Brands,Health & Beauty,Neutrogena,Johnson & Johnson Beauty,Johnson & Johnson,Sun & Tanning,Face,Facial Sunscreens,Health & Wellness,Sunscreen","Neutrogena Wet Skin Sunscreen Spray Broad Spectrum SPF 50, 5oz",What a great idea! Just used this product on a vacation in Florida- it worked great! What a terrific idea!!!
AV1Ys0kTvKc47QAVgx1C,Meguiars,"Home,Home Improvement,Automotive,Car Cleaning,Auto & Tires,Auto Detailing & Car Care,Exterior Care,Car Washes & Cleaners,Car Care,Car Polishes & Waxes,Waxes,eBay Motors,Automotive Tools & Supplies,Automotive Care & Detailing,Car Wash Soap,Cleaners,Car Electronics,Applicators,Gifts,Father's Day Gifts,Automotive Basics,Car Care & Detailing",Meguiar's Deep Crystal Car Wash 64-Oz.,Car wash as advertised Car wash as advertised
AV1YtGjdglJLPUi8IOfJ,Banana Boat,"Personal Care,Makeup,Bronzer,Beauty,Skin Care,Sun & Tanning,Sun Care,Health & Beauty,Sun Protection & Tanning,Sunless Tanning Products,See more Banana Boat Summer Color Tanning lotion,Facial Self Tanners,Face","Banana Boat Sunless Summer Color Self Tanning Lotion, Light To Medium",Just a touch of color I have used this product year-round for a couple of years. I use it on my face/neck only and it adds just a touch of color. Perfect!
AV1ZSp2uglJLPUi8IQFy,Cetaphil,"Personal Care,Skin Care,Moisturizer,Beauty,Face Cleansers,Face Wash,Facial Cleansers,Featured Brands,Washes","Cetaphil Gentle Skin Cleanser, 2oz",Nice Product Nice Product
AV1ZT7GLglJLPUi8IQLI,Suave,"Personal Care,Hair Care,Conditioner,Conditioners,Beauty,Salon Hair Care","Suave Professionals Hair Conditioner, Sleek","I love! I love this shampoo! Years ago, I was having so many problems with my hair. It was NOT growing, falling out, unmanageable and my hot tools were just breaking my hair in half. I decided to try this product because it contained ingredients I had used before with another favorite product that was discontinued. Using this shampoo has brought my hair back to life again! It's shiny, long and manageable. Goodbye split ends, HELLO HEALTHY HAIR!"
AV1ZVIgy-jtxr-f31W9N,Bumble Bee,"Food,Packaged Foods,Canned Foods,Canned Seafood,Food & Beverage,Meal Solutions, Grains & Pasta,Canned, Jarred & Packaged Foods,Tuna & Seafood,Canned Goods,Canned Goods & Soups,Tuna Fish,Products,Food & Grocery,General Grocery,Conventional Foods",Bumble Bee Solid White Albacore In Water - 5 Oz,"Great flavor, nice texture This was a wonderful flavorful tuna. Nice flakey texture, a great taste."
